timestamp,visitorid,event,itemid,categoryid_final
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1085
1442271893782,7720,view,240233,1085
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1228
1442271893782,7720,view,240233,1085
1442271893782,7720,view,240233,1085
1442271893782,7720,view,240233,1085
1442271893782,7720,view,240233,1085
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1085
1442271933080,7720,view,240233,1085
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1228
1442271933080,7720,view,240233,1085
1442271933080,7720,view,240233,1085
1442271933080,7720,view,240233,1085
1442271933080,7720,view,240233,1085
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1085
1442271939680,7720,view,240233,1085
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1228
1442271939680,7720,view,240233,1085
1442271939680,7720,view,240233,1085
1442271939680,7720,view,240233,1085
1442271939680,7720,view,240233,1085
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1085
1442272020834,7720,view,240233,1085
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1228
1442272020834,7720,view,240233,1085
1442272020834,7720,view,240233,1085
1442272020834,7720,view,240233,1085
1442272020834,7720,view,240233,1085
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1085
1442272028215,7720,view,240233,1085
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1228
1442272028215,7720,view,240233,1085
1442272028215,7720,view,240233,1085
1442272028215,7720,view,240233,1085
1442272028215,7720,view,240233,1085
1442272137372,7720,view,96940,1085
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1085
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1085
1442272137372,7720,view,96940,1085
1442272137372,7720,view,96940,1228
1442272137372,7720,view,96940,1085
