timestamp,visitorid,event,categoryid_final
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1085
1442271893782,7720,view,1085
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1228
1442271893782,7720,view,1085
1442271893782,7720,view,1085
1442271893782,7720,view,1085
1442271893782,7720,view,1085
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1085
1442271933080,7720,view,1085
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1228
1442271933080,7720,view,1085
1442271933080,7720,view,1085
1442271933080,7720,view,1085
1442271933080,7720,view,1085
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1085
1442271939680,7720,view,1085
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1228
1442271939680,7720,view,1085
1442271939680,7720,view,1085
1442271939680,7720,view,1085
1442271939680,7720,view,1085
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1085
1442272020834,7720,view,1085
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1228
1442272020834,7720,view,1085
1442272020834,7720,view,1085
1442272020834,7720,view,1085
1442272020834,7720,view,1085
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1085
1442272028215,7720,view,1085
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1228
1442272028215,7720,view,1085
1442272028215,7720,view,1085
1442272028215,7720,view,1085
1442272028215,7720,view,1085
1442272137372,7720,view,1085
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1085
1442272137372,7720,view,1228
1442272137372,7720,view,1085
1442272137372,7720,view,1085
1442272137372,7720,view,1228
1442272137372,7720,view,1085
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1228
1442272137372,7720,view,1085
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1085
1442272333772,7720,view,1085
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1228
1442272333772,7720,view,1085
1442272333772,7720,view,1085
1442272333772,7720,view,1085
1442272333772,7720,view,1085
1442272341672,7720,view,1085
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1085
1442272341672,7720,view,1228
1442272341672,7720,view,1085
1442272341672,7720,view,1085
1442272341672,7720,view,1228
1442272341672,7720,view,1085
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1228
1442272341672,7720,view,1085
1442272424273,7720,addtocart,1085
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1085
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1085
1442272424273,7720,addtocart,1085
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1085
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1228
1442272424273,7720,addtocart,1085
1431485742405,7950,view,496
1431485742405,7950,view,496
1431485742405,7950,view,496
1431485742405,7950,view,496
1431485742405,7950,view,1402
1431485742405,7950,view,1402
1431485742405,7950,view,1402
1431485742405,7950,view,496
1431485742405,7950,view,1402
1431485742405,7950,view,1402
1431485742405,7950,view,496
1431485742405,7950,view,496
1431485742405,7950,view,1425
1431485742405,7950,view,1402
1431485742405,7950,view,496
1431485742405,7950,view,1402
1431485742405,7950,view,1425
1431485742405,7950,view,496
1434341798024,7950,view,-1
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,1167
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341894942,7950,view,176
1434341982704,7950,view,-1
1434342019714,7950,view,1167
1434342019714,7950,view,1167
1434342019714,7950,view,1167
1434342019714,7950,view,1167
1434342019714,7950,view,1167
1434342019714,7950,view,1617
1434342019714,7950,view,1167
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1167
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342019714,7950,view,1617
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,1167
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342075118,7950,view,176
1434342420814,7950,view,1167
1434342420814,7950,view,1167
1434342420814,7950,view,1167
1434342420814,7950,view,1167
1434342420814,7950,view,1167
1434342420814,7950,view,1617
1434342420814,7950,view,1167
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1167
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342420814,7950,view,1617
1434342795193,7950,view,1167
1434342795193,7950,view,1167
1434342795193,7950,view,1167
1434342795193,7950,view,1167
1434342795193,7950,view,1167
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,1167
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,1167
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,176
1434342795193,7950,view,176
